Car Model,Condition,Mileage,Price (USD),Monthly Payment,Dealer Name,Year,brand,Mileage_mi,Condition_car
2017 Kia Soul +,Used,92479,11998.0,226.0,CarMax Albuquerque,2017,Kia,92479.0,Used
2025 Chevrolet Equinox FWD ACTIV,New,,32759.0,616.0,Advantage Chevrolet,2025,Chevrolet,,New
2016 Hyundai Sonata Sport,Used,59269,12071.0,227.0,McGrath Acura of Morton Grove,2016,Hyundai,59269.0,Used
2025 Chevrolet Equinox 1LT,New,,29270.0,550.0,Castle Chevrolet of Villa Park,2025,Chevrolet,,New
2025 Kia K4 LXS,New,,24540.0,461.0,Ed Napleton Acura Kia,2025,Kia,,New
2015 BMW 528 528i xDrive,Used,87586,10945.0,206.0,Top Gear Motors,2015,BMW,87586.0,Used
2024 Ford Bronco Black Diamond,New,,49887.0,938.0,Schaumburg Ford,2024,Ford,,New
2024 Ford Bronco Big Bend,New,,46590.0,876.0,Webb Ford,2024,Ford,,New
2025 Kia Sportage Hybrid EX,New,,34550.0,649.0,McGrath Arlington Kia,2025,Kia,,New
2025 Nissan Sentra SR,New,,28058.0,527.0,Woodfield Nissan,2025,Nissan,,New
2025 Lincoln Corsair Grand Touring,New,,67325.0,1265.0,Fair Oaks Lincoln,2025,Lincoln,,New
2024 Nissan Altima 2.5 S,New,,27750.0,522.0,Gerald Nissan of Naperville,2024,Nissan,,New
2025 BMW M850 xDrive,Used,1406,124090.0,2332.0,Knauz Auto Park,2025,BMW,1406.0,Used
2024 Bentley Continental GT Mulliner V8,Used,2753,279800.0,5259.0,Bentley Bugatti Lamborghini Maserati Rolls-Royce of Chicago,2024,Bentley,2753.0,Used
2024 Ford Ranger XL,New,,37032.0,696.0,Zeigler Ford of North Riverside,2024,Ford,,New
2022 Kia Niro EV EX,Kia Certified,29757,20980.0,394.0,Berwyn Kia,2022,Kia,29757.0,Certified
2020 Hyundai Veloster N,Used,19320,25998.0,489.0,CarMax Charlottesville,2020,Hyundai,19320.0,Used
